date,value,moisture,temperature,soil_humidity,absdeviation
1-1,973,86,3,704,19
1-2,979,86,3,704,22
1-3,984,86,3,704,23
1-4,988,86,3,704,16
1-5,995,86,3,704,10
1-6,994,86,3,704,10
1-7,990,86,3,704,12
1-8,995,86,3,704,15
1-9,1001,86,3,704,6
1-10,993,86,3,704,17
1-11,994,86,3,704,15
1-12,995,82,12,630,13
1-13,997,97,9,649,3
1-14,996,99,9,652,2
1-15,1000,99,3,671,2
1-16,993,86,5,677,14
1-17,996,85,4,657,9
1-18,997,87,4,676,9
1-19,995,86,5,678,12
1-20,993,85,5,685,12
1-21,994,81,3,682,17
1-22,1000,91,2,710,5
1-23,990,88,6,705,12
1-24,999,83,-1,703,7
1-25,990,77,-1,735,28
1-26,998,91,-3,744,12
1-27,983,83,1,746,22
1-28,987,81,0,766,22
1-29,980,84,4,762,24
1-30,975,81,6,771,25
1-31,978,82,6,782,23
2-1,974,86,9,778,16
2-2,973,79,7,774,22
2-3,977,83,6,780,18
2-4,981,81,5,785,25
2-5,980,81,6,783,24
2-6,979,85,6,776,18
2-7,975,86,6,742,19
2-8,978,83,6,758,18
2-9,987,93,1,760,12
2-10,968,86,7,694,21
2-11,968,86,7,694,21
2-12,968,86,7,694,21
2-13,976,98,6,648,0
2-14,972,86,10,645,15
2-15,974,89,8,654,12
2-16,980,93,6,658,5
2-17,974,90,9,657,11
2-18,975,99,8,656,2
2-19,961,90,10,647,17
2-20,966,83,8,651,27
2-21,966,80,7,653,31
2-22,961,83,8,650,36
2-23,954,85,10,641,26
2-24,957,85,9,648,26
2-25,956,82,9,655,33
2-26,947,83,9,657,42
2-27,943,87,11,650,39
2-28,934,87,12,657,36
3-1,940,95,11,664,15
3-2,944,89,11,662,26
3-3,933,89,11,661,40
3-4,938,91,10,674,25
3-5,927,92,13,676,36
3-6,924,90,14,669,38
3-7,922,92,16,673,32
3-8,910,90,19,671,31
3-9,908,92,19,677,29
3-10,908,93,18,687,36
3-11,911,82,18,695,25
3-12,936,100,9,661,6
3-13,919,92,12,602,40
3-14,917,90,16,606,34
3-15,921,93,17,618,28
3-16,930,92,13,628,22
3-17,934,99,11,636,16
3-18,918,94,17,625,29
3-19,924,92,15,636,34
3-20,923,93,17,649,35
3-21,915,92,20,657,40
3-22,913,95,22,665,30
3-23,911,98,20,631,15
3-24,912,97,19,619,25
3-25,930,98,13,623,5
3-26,920,90,16,634,25
3-27,925,93,16,661,40
3-28,930,94,15,683,30
3-29,924,92,18,689,35
3-30,923,94,20,698,32
3-31,927,83,18,715,32
4-1,933,71,18,735,27
4-2,938,61,18,751,23
4-3,942,61,18,766,24
4-4,944,74,17,773,15
4-5,940,100,14,734,8
4-6,948,100,10,687,3
4-7,946,80,12,671,16
4-8,956,69,12,689,24
4-9,952,74,14,640,22
4-10,951,75,15,652,22
4-11,951,84,16,668,10
4-12,952,68,15,677,20
4-13,954,68,17,695,24
4-14,954,80,17,705,15
4-15,954,96,14,692,6
4-16,955,83,13,685,10
4-17,955,76,17,693,16
4-18,957,96,15,702,4
4-19,939,81,24,688,14
4-20,942,85,23,698,11
4-21,945,78,21,709,11
4-22,958,57,20,720,14
4-23,959,66,19,729,12
4-24,961,70,18,733,13
4-25,970,96,11,744,4
4-26,964,82,13,745,12
4-27,961,65,18,746,22
4-28,960,68,20,747,15
4-29,961,94,16,743,3
4-30,951,77,16,710,14
