Time [s],Velocity [km/h],Throttle [%],Battery Temperature [°C],Ambient Temperature [°C],Heating Power CAN [kW],AirCon Power [kW],SoC [%]
0.0,0.0,0.0,7.0,8.5,7.0,0.0,86.1
10.0,0.0,0.0,7.0,8.5,5.68,0.0,86.0
20.0,0.0,0.0,7.0,8.5,5.52,0.0,86.0
30.0,10.76425,45.5,7.0,8.5,5.61858,0.0,85.9
40.0,35.69801,32.70905,7.0,8.5,5.64,0.0,85.7
50.0,5.45729,18.525,7.0,8.5,5.52,0.0,85.7
60.0,25.69085,49.12761,7.0,9.0,5.6,0.0,85.5
70.0,60.72117,42.20547,7.0,9.0,4.92,0.0,85.1
80.0,43.55102,21.925,7.0,9.23665,4.52,0.0,85.1
90.0,55.5508,51.075,7.0,9.5,4.98616,0.0,84.9
100.0,59.31981,46.06221,8.0,9.5,4.40344,0.0,84.7
110.0,62.019,44.75,8.0,9.5,4.04,0.0,84.5
120.0,65.66563,46.6,8.0,9.5,3.5083,0.0,84.3
130.0,60.96588,30.625,8.0,9.5,2.68,0.0,84.2
140.0,16.41252,10.68872,8.0,9.5,2.64,0.0,84.2
150.0,0.0,0.0,8.0,9.5,2.4,0.0,84.2
160.0,0.0,0.0,8.0,9.5,2.16,0.0,84.2
170.0,0.0,0.0,8.0,9.5,3.04,0.0,84.2
180.0,0.0,0.0,8.0,9.5,2.32,0.0,84.1
190.0,0.0,0.0,8.0,9.5,2.24,0.0,84.1
200.0,0.0,0.0,8.0,9.5,2.0,0.0,84.1
210.0,29.41925,50.84841,8.0,9.5,1.84,0.0,83.9
220.0,76.45189,44.275,8.0,9.5,1.96,0.0,83.4
230.0,69.84522,26.425,8.0,9.5,1.56,0.0,83.3
240.0,26.68775,30.775,8.0,9.5,1.6,0.0,83.3
250.0,52.42225,43.14218,8.0,9.5,1.83364,0.0,83.1
260.0,53.29688,39.15,8.0,9.5,1.52,0.0,83.0
270.0,42.79456,14.31481,8.0,9.5,1.56,0.0,83.0
280.0,26.44375,47.64182,8.0,9.5,1.36,0.0,83.0
290.0,53.40734,35.5324,8.0,9.5,1.72,0.0,82.8
300.0,51.3541,30.0,8.0,9.5,1.56,0.0,82.7
310.0,43.32657,34.19087,8.0,9.5,1.39077,0.0,82.7
320.0,20.07455,33.73986,8.0,9.5,1.6,0.0,82.7
330.0,37.09579,29.525,8.0,9.5,1.4739,0.0,82.5
340.0,0.0,0.0,8.0,9.5,1.31856,0.0,82.6
350.0,0.12751,0.0,8.0,9.5,1.24,0.0,82.6
360.0,13.51013,31.52224,8.0,9.5,1.16,0.0,82.5
370.0,26.36011,18.825,8.0,9.5,1.24,0.0,82.4
380.0,37.34696,32.95,8.0,9.5,1.13892,0.0,82.3
390.0,44.75876,30.3,8.0,9.5,1.24,0.0,82.2
400.0,41.54775,33.39368,8.0,9.5,1.24,0.0,82.1
410.0,35.31241,28.13133,8.0,9.5,0.84,0.0,82.1
420.0,44.44064,27.21216,8.0,9.5,0.6,0.0,82.0
430.0,45.05373,31.7,8.0,9.5,0.68,0.0,81.9
440.0,50.02483,33.08868,8.0,9.5,0.68,0.0,81.8
450.0,32.61285,9.68924,8.0,9.5,1.0,0.0,81.8
460.0,52.3125,42.85,8.0,9.5,0.84,0.0,81.6
470.0,53.67218,41.325,8.0,9.5,0.68,0.0,81.5
480.0,54.33823,36.825,8.0,9.5,1.0,0.0,81.4
490.0,59.3125,37.27091,8.0,9.5,0.68936,0.0,81.3
500.0,55.16819,28.94968,8.0,9.5,1.05706,0.0,81.3
510.0,33.10938,34.67145,8.0,9.5,1.0,0.0,81.4
520.0,35.42742,13.25,8.0,9.5,0.84,0.0,81.3
530.0,7.0625,31.56082,8.0,9.5,0.76,0.0,81.3
540.0,44.44757,48.775,8.0,9.5,0.80545,0.0,81.2
550.0,49.66478,39.925,8.0,9.5,0.84,0.0,81.1
560.0,39.4302,35.27994,8.0,9.5,0.76,0.0,81.1
570.0,39.19446,44.11007,8.0,9.5,0.68,0.0,81.0
580.0,41.02324,44.575,8.0,9.5,0.84,0.0,80.9
590.0,43.52302,16.34139,8.0,9.5,0.84,0.0,80.8
600.0,27.25074,27.88771,8.0,9.5,0.84,0.0,80.8
610.0,30.27402,38.525,8.0,9.5,0.84,0.0,80.8
620.0,38.63519,46.125,8.0,9.5,0.84,0.0,80.7
630.0,49.32813,36.26146,8.0,9.5,0.84,0.0,80.5
640.0,39.20313,16.92611,8.0,9.5,0.84,0.0,80.51768
650.0,26.91212,32.95,8.0,9.5,0.76,0.0,80.6
660.0,27.78125,37.3,8.0,9.5,0.84,0.0,80.5
670.0,26.66006,33.1,8.0,9.5,0.84,0.0,80.5
680.0,27.25,32.8,8.0,9.5,0.84,0.0,80.4
690.0,20.39618,27.15937,8.0,9.5,0.84,0.0,80.4
700.0,23.89635,7.92029,8.0,9.5,0.84,0.0,80.4
710.0,23.70313,40.675,8.0,9.5,0.68,0.0,80.3
720.0,50.59004,41.98963,8.0,9.5,0.8,0.0,80.1
730.0,47.94744,48.08488,8.0,9.5,0.96243,0.0,80.1
740.0,54.46675,36.2,8.0,9.5,1.0,0.0,80.0
750.0,52.62197,24.9,8.0,9.5,0.68,0.0,79.9
760.0,53.81647,36.375,8.0,9.5,1.0,0.0,79.9
770.0,38.30402,17.275,8.0,9.5,0.84,0.0,79.9
780.0,34.28269,36.2,8.0,9.5,0.96,0.0,79.8
790.0,36.56918,31.7,8.0,9.5,0.68,0.0,79.8
800.0,38.74064,26.34985,8.0,9.5,1.16,0.0,79.7
810.0,21.25,35.9432,8.0,9.5,0.81692,0.0,79.7
820.0,30.32541,18.825,8.0,9.5,0.84,0.0,79.6
830.0,29.93499,23.65,8.0,9.5,0.84,0.0,79.6
840.0,36.57353,39.3,8.0,9.5,0.84,0.0,79.5
850.0,35.37709,19.125,8.0,9.5,0.84,0.0,79.5
860.0,1.80625,0.0,8.0,9.5,0.84,0.0,79.5
870.0,32.32979,24.4,8.0,9.5,0.84,0.0,79.4
880.0,29.16059,11.64189,8.0,9.5,0.84,0.0,79.4
890.0,30.18876,23.60568,8.0,9.5,0.84,0.0,79.3
900.0,20.84995,45.45457,8.0,9.5,0.84,0.0,79.3
910.0,57.34124,28.45,8.0,9.5,0.84426,0.0,79.0
920.0,47.8125,42.72884,8.0,9.5,0.80979,0.0,79.0
930.0,55.82813,33.97717,8.0,9.5,0.84,0.0,78.9
940.0,30.95359,36.65,8.0,9.5,0.80978,0.0,79.0
950.0,60.125,34.8,8.0,9.5,0.84,0.0,78.7
960.0,70.625,26.425,9.0,9.5,1.0,0.0,78.5
970.0,45.92188,21.59034,9.0,9.5,1.08,0.0,78.6
980.0,55.86659,66.21509,9.0,9.5,0.8,0.0,78.4
990.0,72.68831,56.48091,9.0,9.5,1.04398,0.0,78.1
1000.0,76.28125,52.62709,9.0,9.5,1.03663,0.0,77.8
1010.0,79.01563,47.08493,9.0,9.5,1.04,0.0,77.6
1020.0,66.7924,54.61222,9.0,9.5,1.04,0.0,77.6
1030.0,68.03391,39.6,9.0,9.5,0.96877,0.0,77.5
1040.0,71.8125,42.4,9.0,9.5,0.96,0.0,77.4
1050.0,77.31218,58.525,9.0,9.5,0.76,0.0,77.2
1060.0,98.34591,46.9563,9.0,9.5,0.91167,0.0,76.7
1070.0,101.76804,47.05,9.0,9.5,0.96,1.42157,76.3
1080.0,102.68489,39.15,10.0,9.5,1.4,0.36,76.0
1090.0,88.3894,23.8,10.0,9.5,1.92,0.10226,76.0
1100.0,67.9474,31.66648,10.0,9.5,1.92,0.12,76.08606
1110.0,39.8842,15.875,9.0,9.5,1.50499,0.04,76.1
1120.0,53.74952,56.33028,9.0,9.5,1.28351,0.0,76.0
1130.0,57.95897,9.675,9.0,9.5,1.39913,0.0,75.8
1140.0,5.75034,16.2,9.0,9.5,1.52,0.0,76.0
1150.0,0.89063,4.40428,9.0,9.5,1.44,0.0,76.0
1160.0,0.0,0.0,9.0,9.5,1.12,0.0,75.9
1170.0,0.0,0.0,9.0,9.5,1.2,0.0,75.9
1180.0,0.0,0.0,9.0,9.5,1.20165,0.0,75.9
1190.0,0.0,0.0,9.0,9.5,1.16,0.0,75.9
1200.0,0.0,0.0,9.0,9.5,1.24,0.0,75.9
1210.0,16.74975,54.175,9.0,9.5,1.19469,0.0,75.8
1220.0,50.06405,51.46608,9.0,9.5,1.16,0.0,75.6
1230.0,60.00363,36.70103,9.0,9.5,1.01559,0.0,75.4
1240.0,72.14633,48.775,9.0,9.5,0.68,0.0,75.2
1250.0,71.48793,43.175,9.0,9.5,0.82655,0.0,75.0
1260.0,67.58752,47.89421,9.0,9.41753,0.7215,0.0,74.8
1270.0,67.17188,49.375,9.0,9.0,0.6,0.0,74.7
1280.0,49.43333,12.775,9.0,9.5,0.76,0.0,74.8
1290.0,46.95033,18.76032,9.0,9.39572,0.8,0.0,74.8
1300.0,36.132,42.69004,10.0,9.5,0.76,0.0,74.8
1310.0,82.79094,37.9,10.0,9.5,0.7803,0.0,74.3
1320.0,126.31166,31.08098,10.0,9.5,0.95723,0.0,73.2
1330.0,117.10132,32.21137,11.0,9.5,1.11861,0.0,73.2
1340.0,121.2891,39.03995,11.0,10.0,1.12,0.0,72.8
1350.0,119.7258,37.92559,11.0,10.0,1.10578,0.0,72.6
1360.0,108.6163,34.77167,11.0,10.0,1.13421,0.0,72.5
1370.0,116.99274,33.07489,11.0,10.0,1.19935,0.0,72.1
1380.0,82.97287,8.12746,11.0,10.0,1.12818,0.0,72.4
1390.0,58.3019,50.475,11.0,10.0,1.04,0.0,72.58369
1400.0,50.35938,28.925,11.0,9.71474,0.84,0.0,72.5
1410.0,50.5562,66.3,11.0,9.5,1.08,0.0,72.3864
1420.0,79.00639,22.875,11.0,9.5,1.12,0.0,72.0
1430.0,69.96265,24.87751,11.0,9.5,0.84,0.0,72.0
1440.0,29.48469,0.0,11.0,9.5,0.84,0.0,72.2
1450.0,1.125,6.425,11.0,9.5,1.0,0.0,72.2
1460.0,59.71516,76.29342,11.0,9.5,0.88224,0.0,71.9
1470.0,74.50499,44.75,11.0,9.5,1.04,0.0,71.6
1480.0,79.53693,50.54314,11.0,9.5,1.00033,0.0,71.48637
1490.0,48.0608,8.36113,11.0,9.5,1.08,0.0,71.6
1500.0,58.66714,36.62194,11.0,9.5,0.96,0.0,71.5
1510.0,44.97021,57.0,11.0,9.31552,0.94102,0.0,71.5
1520.0,49.4375,29.62208,11.0,9.17686,0.84,0.0,71.4
1530.0,51.3156,36.46033,11.0,9.0,0.84,0.0,71.3
1540.0,37.00398,14.39226,11.0,9.0,1.0,0.0,71.3
1550.0,26.43371,41.325,11.0,9.5,0.96,0.0,71.3
1560.0,32.02887,44.875,11.0,9.5,0.96,0.0,71.3
1570.0,46.09375,35.275,11.0,9.5,0.96,0.0,71.1
1580.0,0.07813,0.0,11.0,9.5,1.0,0.0,71.2
1590.0,35.83168,50.4984,11.0,9.5,0.8,0.0,71.1
1600.0,54.63494,40.675,11.0,9.5,0.84,0.0,70.8
1610.0,42.83102,14.8,11.0,9.5,0.84,0.0,70.9
