,Time [s],Velocity [km/h],Elevation [m],Throttle [%],Motor Torque [Nm],Longitudinal Acceleration [m/s^2],Regenerative Braking Signal ,Battery Voltage [V],Battery Current [A],Battery Temperature [캜],max. Battery Temperature [캜],SoC [%],displayed SoC [%],min. SoC [%],max. SoC [%),Heating Power CAN [kW],Requested Heating Power [W],AirCon Power [kW],Heater Signal,Ambient Temperature [캜],Requested Coolant Temperature [캜],Heat Exchanger Temperature [캜],Cabin Temperature Sensor [캜],Unnamed: 23
0,0.0,0.0,571.0,0.0,0.0,0.17,0.0,391.6,-7.6,26.0,27.0,87.0,100.0,8,90,0.0,0,2.24,1,30.0,85,29.0,39.84,
1,0.1,0.0,571.0,0.0,0.0,0.18,0.0,391.6,-7.6,26.0,27.0,87.0,100.0,8,90,0.0,0,2.24,1,30.0,85,29.0,39.84,
2,0.2,0.0,571.0,0.0,0.0,0.19,0.0,391.6,-7.6,26.0,27.0,87.0,100.0,8,90,0.0,0,2.24,1,30.0,85,29.0,39.84,
3,0.3,0.0,571.0,0.0,0.0,0.17,0.0,391.6,-7.6,26.0,27.0,87.0,100.0,8,90,0.0,0,2.24,1,30.0,85,29.0,39.84,
4,0.4,0.0,571.0,0.0,0.0,0.17,0.0,391.6,-7.59,26.0,27.0,87.0,100.0,8,90,0.0,0,2.24,1,30.0,85,29.0,39.84,43650.0
5,0.5,0.0,571.0,0.0,0.0,0.21,0.0,391.6,-7.54,26.0,27.0,87.0,100.0,8,90,0.0,0,2.24,1,30.0,85,29.0,39.84,
6,0.6,0.0,571.0,0.0,0.0,0.2,0.0,391.6,-7.51,26.0,27.0,87.0,100.0,8,90,0.0,0,2.24,1,30.0,85,29.0,39.84,
7,0.7,0.0,571.0,0.0,0.0,0.17,0.0,391.6,-7.56,26.0,27.0,87.0,100.0,8,90,0.0,0,2.24,1,30.0,85,28.95,39.84,
8,0.8,0.0,571.0,0.0,0.0,0.18,0.0,391.6,-7.6,26.0,27.0,87.0,100.0,8,90,0.0,0,2.24,1,30.0,85,28.9,39.84,
9,0.9,0.0,571.0,0.0,0.0,0.15,0.0,391.6,-7.6,26.0,27.0,87.0,100.0,8,90,0.0,0,2.24,1,30.0,85,28.85,39.84,
10,1.0,0.0,571.0,0.0,0.0,0.14,0.0,391.6,-7.6,26.0,27.0,87.0,100.0,8,90,0.0,0,2.24,1,30.0,85,28.8,39.84,
11,1.1,0.0,571.0,0.0,0.0,0.19,0.0,391.6,-7.6,26.0,27.0,87.0,100.0,8,90,0.0,0,2.24,1,30.0,85,28.75,39.84,
12,1.2,0.0,571.0,0.0,0.0,0.22,0.0,391.6,-7.59,26.0,27.0,87.0,100.0,8,90,0.0,0,2.24,1,30.0,85,28.7,39.84,
13,1.3,0.0,571.0,0.0,0.0,0.17,0.0,391.6,-7.54,26.0,27.0,87.0,100.0,8,90,0.0,0,2.24,1,30.0,85,28.65,39.84,
14,1.4,0.0,571.0,0.0,0.0,0.16,0.0,391.6,-7.49,26.0,27.0,87.0,100.0,8,90,0.0,0,2.24,1,30.0,85,28.6,39.84,
15,1.5,0.0,571.0,0.0,0.0,0.19,0.0,391.6,-7.44,26.0,27.0,87.0,100.0,8,90,0.0,0,2.24,1,30.0,85,28.55,39.84,
16,1.6,0.0,571.0,0.0,0.0,0.18,0.0,391.6,-7.41,26.0,27.0,87.0,100.0,8,90,0.0,0,2.2,1,30.0,85,28.5,39.84,
17,1.7,0.0,571.0,0.0,0.0,0.17,0.0,391.6,-7.46,26.0,27.0,87.0,100.0,8,90,0.0,0,2.19,1,30.0,85,28.5,39.84,
18,1.8,0.0,571.0,0.0,0.0,0.18,0.0,391.6,-7.49,26.0,27.0,87.0,100.0,8,90,0.0,0,2.19,1,30.0,85,28.5,39.84,
19,1.9,0.0,571.0,0.0,0.0,0.18,0.0,391.6,-7.44,26.0,27.0,87.0,100.0,8,90,0.0,0,2.18,1,30.0,85,28.5,39.84,
20,2.0,0.0,571.0,0.0,0.0,0.18,0.0,391.6,-7.4,26.0,27.0,87.0,100.0,8,90,0.0,0,2.18,1,30.0,85,28.5,39.84,
21,2.1,0.0,571.0,0.0,0.0,0.2,0.0,391.6,-7.4,26.0,27.0,87.0,100.0,8,90,0.0,0,2.17,1,30.0,85,28.5,39.84,
22,2.2,0.0,571.0,0.0,0.0,0.21,0.0,391.6,-7.39,26.0,27.0,87.0,100.0,8,90,0.0,0,2.17,1,30.0,85,28.5,39.84,
23,2.3,0.0,571.0,0.0,0.0,0.2,0.0,391.6,-7.34,26.0,27.0,87.0,100.0,8,90,0.0,0,2.16,1,30.0,85,28.5,39.84,
24,2.4,0.0,571.0,0.0,0.0,0.19,0.0,391.6,-7.31,26.0,27.0,87.0,100.0,8,90,0.0,0,2.16,1,30.0,85,28.5,39.84,
25,2.5,0.0,571.0,0.0,0.0,0.17,0.0,391.6,-7.36,26.0,27.0,87.0,100.0,8,90,0.0,0,2.16,1,30.0,85,28.5,39.84,
26,2.6,0.0,571.0,0.0,0.0,0.17,0.0,391.6,-7.4,26.0,27.0,87.0,100.0,8,90,0.0,0,2.16,1,30.0,85,28.5,39.84,
27,2.7,0.0,571.0,0.0,0.0,0.2,0.0,391.6,-7.4,26.0,27.0,87.0,100.0,8,90,0.0,0,2.16,1,30.0,85,28.45,39.84,
28,2.8,0.0,571.0,0.0,0.0,0.19,0.0,391.6,-7.4,26.0,27.0,87.0,100.0,8,90,0.0,0,2.16,1,30.0,85,28.4,39.84,
29,2.9,0.0,571.0,0.0,0.0,0.15,0.0,391.6,-7.4,26.0,27.0,87.0,100.0,8,90,0.0,0,2.16,1,30.0,85,28.35,39.84,
30,3.0,0.0,571.0,0.0,0.0,0.18,0.0,391.6,-7.4,26.0,27.0,87.0,100.0,8,90,0.0,0,2.16,1,30.0,85,28.3,39.84,
31,3.1,0.0,571.0,0.0,0.0,0.21,0.0,391.6,-7.4,26.0,27.0,87.0,100.0,8,90,0.0,0,2.16,1,30.0,85,28.25,39.84,
32,3.2,0.0,571.0,0.0,0.0,0.2,0.0,391.6,-7.4,26.0,27.0,87.0,100.0,8,90,0.0,0,2.12,1,30.0,85,28.2,39.84,
33,3.3,0.0,571.0,0.0,0.0,0.17,0.0,391.6,-7.4,26.0,27.0,87.0,100.0,8,90,0.0,0,2.12,1,30.0,85,28.15,39.84,
34,3.4,0.0,571.0,0.0,0.0,0.18,0.0,391.6,-7.39,26.0,27.0,87.0,100.0,8,90,0.0,0,2.12,1,30.0,85,28.1,39.84,
35,3.5,0.0,571.0,0.0,0.0,0.2,0.0,391.6,-7.34,26.0,27.0,87.0,100.0,8,90,0.0,0,2.12,1,30.0,85,28.05,39.84,
36,3.6,0.0,571.0,0.0,0.0,0.17,0.0,391.6,-7.3,26.0,27.0,87.0,100.0,8,90,0.0,0,2.12,1,30.0,85,28.0,39.84,
37,3.7,0.0,571.0,0.0,0.0,0.17,0.0,391.6,-7.3,26.0,27.0,87.0,100.0,8,90,0.0,0,2.12,1,30.0,85,27.95,39.84,
38,3.8,0.0,571.0,0.0,0.0,0.17,0.0,391.6,-7.31,26.0,27.0,87.0,100.0,8,90,0.0,0,2.12,1,30.0,85,27.9,39.84,
39,3.9,0.0,571.0,0.0,0.0,0.17,0.0,391.6,-7.36,26.0,27.0,87.0,100.0,8,90,0.0,0,2.12,1,30.0,85,27.85,39.84,
40,4.0,0.0,571.0,0.0,0.0,0.15,0.0,391.59,-7.39,26.0,27.0,87.0,100.0,8,90,0.0,0,2.12,1,30.0,85,27.8,39.84,
41,4.1,0.0,571.0,0.0,0.0,0.15,0.0,391.54,-7.34,26.0,27.0,87.0,100.0,8,90,0.0,0,2.12,1,30.0,85,27.75,39.84,
42,4.2,0.0,571.0,0.0,0.0,0.23,0.0,391.51,-7.3,26.0,27.0,87.0,100.0,8,90,0.0,0,2.12,1,30.0,85,27.7,39.84,
43,4.3,0.0,571.0,0.0,0.0,0.22,0.0,391.56,-7.3,26.0,27.0,87.0,100.0,8,90,0.0,0,2.12,1,30.0,85,27.65,39.84,
44,4.4,0.0,571.0,0.0,0.0,0.15,0.0,391.6,-7.3,26.0,27.0,87.0,100.0,8,90,0.0,0,2.12,1,30.0,85,27.6,39.84,
45,4.5,0.0,571.0,0.0,0.0,0.19,0.0,391.6,-7.3,26.0,27.0,87.0,100.0,8,90,0.0,0,2.12,1,30.0,85,27.55,39.84,
46,4.6,0.0,571.0,0.0,0.0,0.19,0.0,391.59,-7.3,26.0,27.0,87.0,100.0,8,90,0.0,0,2.12,1,30.0,85,27.5,39.84,
47,4.7,0.0,571.0,0.0,0.0,0.14,0.0,391.54,-7.3,26.0,27.0,87.0,100.0,8,90,0.0,0,2.12,1,30.0,85,27.45,39.84,
48,4.8,0.0,571.0,0.0,0.0,0.19,0.0,391.51,-7.29,26.0,27.0,87.0,100.0,8,90,0.0,0,2.12,1,30.0,85,27.4,39.84,
49,4.9,0.0,571.0,0.0,0.0,0.16,0.0,391.56,-7.24,26.0,27.0,87.0,100.0,8,90,0.0,0,2.12,1,30.0,85,27.35,39.84,
50,5.0,0.0,571.0,0.0,0.0,0.14,0.0,391.59,-7.23,26.0,27.0,87.0,100.0,8,90,0.0,0,2.12,1,30.0,85,27.3,39.84,
51,5.1,0.0,571.0,0.0,0.0,0.24,0.0,391.54,-7.53,26.0,27.0,87.0,100.0,8,90,0.0,0,2.11,1,30.0,85,27.25,39.84,
52,5.2,0.0,571.0,0.0,0.0,0.14,0.0,391.5,-7.79,26.0,27.0,87.0,100.0,8,90,0.0,0,2.11,1,30.0,85,27.2,39.84,
53,5.3,0.0,571.0,0.0,0.0,0.1,0.0,391.5,-7.74,26.0,27.0,87.0,100.0,8,90,0.0,0,2.11,1,30.0,85,27.15,39.84,
54,5.4,0.0,571.0,0.0,0.0,0.25,0.0,391.5,-7.7,26.0,27.0,87.0,100.0,8,90,0.0,0,2.11,1,30.0,85,27.1,39.84,
