,Time [s],Velocity [km/h],Elevation [m],Throttle [%],Motor Torque [Nm],Longitudinal Acceleration [m/s^2],Regenerative Braking Signal ,Battery Voltage [V],Battery Current [A],Battery Temperature [캜],max. Battery Temperature [캜],SoC [%],displayed SoC [%],min. SoC [%],max. SoC [%),Heating Power CAN [kW],Requested Heating Power [W],AirCon Power [kW],Heater Signal,Ambient Temperature [캜],Requested Coolant Temperature [캜],Heat Exchanger Temperature [캜],Cabin Temperature Sensor [캜]
0,0.0,0.0,565.0,0.0,0.0,-0.05,0.0,389.4,-5.3,22,23,82.8,98.0,8,90,0.0,0,1.44,1,24.5,85,19.0,26.34
1,0.1,0.0,565.0,0.0,0.0,-0.08,0.0,389.4,-5.37,22,23,82.8,98.0,8,90,0.0,0,1.44,1,24.5,85,19.0,26.34
2,0.2,0.0,565.0,0.0,0.0,-0.06,0.0,389.4,-5.47,22,23,82.8,98.0,8,90,0.0,0,1.44,1,24.5,85,19.0,26.34
3,0.3,0.0,565.0,0.0,0.0,-0.06,0.0,389.4,-5.5,22,23,82.8,98.0,8,90,0.0,0,1.44,1,24.5,85,19.0,26.34
4,0.4,0.0,565.0,0.0,0.0,-0.05,0.0,389.4,-5.5,22,23,82.8,98.0,8,90,0.0,0,1.44,1,24.5,85,19.0,26.34
5,0.5,0.0,565.0,0.0,0.0,-0.03,0.0,389.4,-5.54,22,23,82.8,98.0,8,90,0.0,0,1.44,1,24.5,85,19.0,26.34
6,0.6,0.0,565.0,0.0,0.0,-0.07,0.0,389.4,-5.59,22,23,82.8,98.0,8,90,0.0,0,1.44,1,24.5,85,19.0,26.34
7,0.7,0.0,565.0,0.0,0.0,-0.09,0.0,389.4,-5.67,22,23,82.8,98.0,8,90,0.0,0,1.44,1,24.5,85,19.0,26.34
8,0.8,0.0,565.0,0.0,0.0,-0.06,0.0,389.4,-5.77,22,23,82.8,98.0,8,90,0.0,0,1.44,1,24.5,85,19.0,26.34
9,0.9,0.0,565.0,0.0,0.0,-0.03,0.0,389.4,-5.62,22,23,82.8,98.0,8,90,0.0,0,1.44,1,24.5,85,19.0,26.34
