,Time [s],Velocity [km/h],Elevation [m],Throttle [%],Motor Torque [Nm],Longitudinal Acceleration [m/s^2],Regenerative Braking Signal ,Battery Voltage [V],Battery Current [A],Battery Temperature [캜],max. Battery Temperature [캜],SoC [%],displayed SoC [%],min. SoC [%],max. SoC [%),Heating Power CAN [kW],Heating Power LIN [W],Requested Heating Power [W],AirCon Power [kW],Heater Signal,Heater Voltage [V],Heater Current [A],Ambient Temperature [캜],Coolant Temperature Heatercore [캜],Requested Coolant Temperature [캜],Coolant Temperature Inlet [캜],Heat Exchanger Temperature [캜],Cabin Temperature Sensor [캜]
0,0.0,0.0,564.0,6.73,0.0,-0.05,0.0,388.9,-0.9,20.0,20.0,81.0,95.0,8,89.5,0.0,0.0,0.0,0.0,1,392.0,0.0,20.0,25.0,85,25.0,20.5,25.51
1,0.1,0.0,564.0,11.79,1.0,-0.05,0.0,388.9,-1.08,20.0,20.0,81.0,95.0,8,89.5,0.0,0.0,0.0,0.0,1,392.0,0.0,20.0,25.0,85,25.0,20.5,25.51
2,0.2,0.0,564.0,15.96,3.0,0.07,0.0,388.9,-1.28,20.0,20.0,81.0,95.0,8,89.5,0.0,0.0,0.0,0.0,1,392.0,0.0,20.0,25.0,85,25.0,20.5,25.51
3,0.3,0.0,564.0,17.7,16.17,0.27,0.0,388.86,-1.61,20.0,20.0,81.0,95.0,8,89.5,0.0,0.0,0.0,0.0,1,392.0,0.0,20.0,25.0,85,25.0,20.5,25.51
4,0.4,0.0,564.0,18.45,21.39,0.35,0.0,388.81,-1.96,20.0,20.0,81.0,95.0,8,89.5,0.0,0.0,0.0,0.0,1,392.0,0.0,20.0,25.0,85,25.0,20.5,25.51
5,0.5,0.0,564.0,18.98,26.17,0.42,0.0,388.76,-2.44,20.0,20.0,81.0,95.0,8,89.5,0.0,0.0,0.0,0.0,1,392.0,0.0,20.0,25.0,85,25.0,20.5,25.51
6,0.6,0.27,564.0,18.83,34.17,0.53,0.0,388.71,-2.94,20.0,20.0,81.0,95.0,8,89.5,0.0,0.0,0.0,0.0,1,392.0,0.0,20.0,25.0,85,25.0,20.5,25.51
7,0.7,0.56,564.0,18.83,38.5,0.53,0.0,388.7,-3.22,20.0,20.0,81.0,95.0,8,89.5,0.0,0.0,0.0,0.0,1,392.0,0.0,20.0,25.0,85,25.0,20.5,25.51
8,0.8,0.86,564.0,19.26,40.22,0.55,0.0,388.7,-3.47,20.0,20.0,81.0,95.0,8,89.5,0.0,0.0,0.0,0.0,1,392.0,0.0,20.0,25.0,85,25.0,20.5,25.51
9,0.9,1.04,564.0,19.63,44.28,0.6,0.0,388.66,-3.81,20.0,20.0,81.0,95.0,8,89.5,0.0,0.0,0.0,0.0,1,392.0,0.0,20.0,25.0,85,25.0,20.5,25.51
10,1.0,1.34,564.0,18.93,46.17,0.61,0.0,388.61,-4.16,20.0,20.0,81.0,95.0,8,89.5,0.0,0.0,0.0,0.0,1,392.0,0.0,20.0,25.0,85,25.0,20.5,25.51
11,1.1,1.56,564.0,10.89,47.11,0.65,0.0,388.6,-4.29,20.0,20.0,81.0,95.0,8,89.5,0.0,0.0,0.0,0.0,1,392.0,0.0,20.0,25.0,85,25.0,20.5,25.51
12,1.2,1.86,564.0,0.0,46.22,0.65,0.0,388.6,-4.39,20.0,20.0,81.0,95.0,8,89.5,0.0,0.0,0.0,0.0,1,392.0,0.0,20.0,25.0,85,25.0,20.5,25.51
13,1.3,2.13,564.0,0.0,35.33,0.44,0.0,388.69,-3.51,20.0,20.0,81.0,95.0,8,89.5,0.0,0.0,0.0,0.0,1,392.0,0.0,20.0,25.0,85,25.0,20.5,25.51
14,1.4,2.32,564.0,0.0,18.66,0.19,0.0,388.79,-2.51,20.0,20.0,81.0,95.0,8,89.5,0.0,0.0,0.0,0.0,1,392.0,0.0,20.0,25.0,85,25.0,20.5,25.51
15,1.5,2.43,564.0,0.0,10.05,0.05,0.0,388.84,-1.82,20.0,20.0,81.0,95.0,8,89.5,0.0,0.0,0.0,0.0,1,392.0,0.0,20.0,25.0,85,25.0,20.5,25.51
16,1.6,2.49,564.0,0.0,1.61,-0.03,0.0,388.89,-1.17,20.0,20.0,81.0,95.0,8,89.5,0.0,0.0,0.0,0.0,1,392.0,0.0,20.0,25.0,85,25.0,20.5,25.51
17,1.7,2.48,564.0,0.0,0.22,-0.07,0.0,388.9,-1.1,20.0,20.0,81.0,95.0,8,89.5,0.0,0.0,0.0,0.0,1,392.0,0.0,20.0,25.0,85,25.0,20.5,25.51
18,1.8,2.48,564.0,0.0,0.0,-0.09,0.0,388.9,-1.1,20.0,20.0,81.0,95.0,8,89.5,0.0,0.0,0.0,0.0,1,392.0,0.0,20.0,25.0,85,25.0,20.5,25.51
19,1.9,2.45,564.0,0.0,-1.61,-0.21,0.0,388.9,-1.1,20.0,20.0,81.0,95.0,8,89.5,0.0,0.0,0.0,0.0,1,392.0,0.0,20.0,25.0,85,25.0,20.5,25.51
20,2.0,2.39,564.0,0.0,-2.0,-0.42,0.0,388.9,-1.1,20.0,20.0,81.0,95.0,8,89.5,0.0,0.0,0.0,0.0,1,392.0,0.0,20.0,25.0,85,25.0,20.5,25.51
21,2.1,2.26,564.0,0.0,-2.5,-0.56,0.0,388.9,-1.06,20.0,20.0,81.0,95.0,8,89.5,0.0,0.0,0.0,0.0,1,392.0,0.0,20.0,25.0,85,25.0,20.5,25.51
22,2.2,2.11,564.0,0.0,-3.61,-0.65,0.0,388.9,-1.01,20.0,20.0,81.0,95.0,8,89.5,0.0,0.0,0.0,0.0,1,392.0,0.0,20.0,25.0,85,25.0,20.5,25.51
