,Time [s],Velocity [km/h],Elevation [m],Throttle [%],Motor Torque [Nm],Longitudinal Acceleration [m/s^2],Regenerative Braking Signal ,Battery Voltage [V],Battery Current [A],Battery Temperature [캜],max. Battery Temperature [캜],SoC [%],displayed SoC [%],min. SoC [%],max. SoC [%),Heating Power CAN [kW],Heating Power LIN [W],Requested Heating Power [W],AirCon Power [kW],Heater Signal,Heater Voltage [V],Heater Current [A],Ambient Temperature [캜],Ambient Temperature Sensor [캜],Coolant Temperature Heatercore [캜],Requested Coolant Temperature [캜],Coolant Temperature Inlet [캜],Coolant Volume Flow +500 [l/h],Heat Exchanger Temperature [캜],Cabin Temperature Sensor [캜],Temperature Coolant Heater Inlet [캜],Temperature Coolant Heater Outlet [캜],Temperature Heat Exchanger Outlet [캜],Temperature Defrost lateral left [캜],Temperature Defrost lateral right [캜],Temperature Defrost central [캜],Temperature Defrost central left [캜],Temperature Defrost central right [캜],Temperature Footweel Driver [캜],Temperature Footweel Co-Driver [캜],Temperature Feetvent Co-Driver [캜],Temperature Feetvent Driver [캜],Temperature Head Co-Driver [캜],Temperature Head Driver [캜],Temperature Vent right [캜] ,Temperature Vent central right [캜],Temperature Vent central left [캜],Temperature Vent right [캜]
0,0.0,0.0,495.0,0.0,0.0,-0.4,0.0,383.3,-1.6,9.0,9.0,67.4,74.0,8,89,0.0,0.0,0.0,0,1,386.0,0.0,3.5,3.63,5.0,85,5.0,-0.31,5.0,10.0,4.41,4.33,4.68,4.5,4.33,3.63,3.63,3.54,5.2,4.76,4.94,4.85,6.25,7.29,4.59,4.76,4.76,4.68
1,0.1,0.0,495.0,0.0,0.0,-0.36,0.0,383.3,-1.6,9.0,9.0,67.4,74.0,8,89,0.0,0.0,0.0,0,1,386.0,0.0,3.5,3.63,5.0,85,5.0,-0.31,5.0,10.0,4.41,4.33,4.68,4.5,4.33,3.63,3.63,3.54,5.2,4.76,4.94,4.85,6.25,7.29,4.59,4.76,4.76,4.68
2,0.2,0.0,495.0,0.0,0.0,-0.35,0.0,383.3,-1.6,9.0,9.0,67.4,74.0,8,89,0.0,0.0,0.0,0,1,386.0,0.0,3.5,3.63,5.0,85,5.0,-0.31,5.0,10.0,4.41,4.33,4.68,4.5,4.33,3.64,3.63,3.54,5.2,4.76,4.93,4.85,6.25,7.29,4.59,4.76,4.76,4.68
3,0.3,0.0,495.0,0.0,0.0,-0.37,0.0,383.3,-1.6,9.0,9.0,67.4,74.0,8,89,0.0,0.0,0.0,0,1,386.0,0.0,3.5,3.63,5.0,85,5.0,-0.31,5.0,10.0,4.41,4.34,4.68,4.5,4.33,3.65,3.63,3.54,5.2,4.76,4.92,4.85,6.25,7.29,4.59,4.76,4.76,4.68
4,0.4,0.0,495.0,0.0,0.0,-0.37,0.0,383.3,-1.6,9.0,9.0,67.4,74.0,8,89,0.0,0.0,0.0,0,1,386.0,0.0,3.5,3.63,5.0,85,5.0,-0.31,5.0,10.0,4.41,4.35,4.68,4.5,4.33,3.66,3.63,3.54,5.2,4.76,4.91,4.85,6.25,7.29,4.59,4.76,4.76,4.68
5,0.5,0.0,495.0,0.0,0.0,-0.4,0.0,383.34,-1.6,9.0,9.0,67.4,74.0,8,89,0.0,0.0,0.0,0,1,386.0,0.0,3.5,3.63,5.0,85,5.0,-0.31,5.0,10.0,4.41,4.35,4.68,4.5,4.33,3.67,3.63,3.54,5.2,4.76,4.9,4.85,6.25,7.29,4.59,4.76,4.76,4.68
6,0.6,0.0,495.0,0.0,0.0,-0.37,0.0,383.39,-1.6,9.0,9.0,67.4,74.0,8,89,0.0,0.0,0.0,0,1,386.0,0.0,3.5,3.63,5.0,85,5.0,-0.31,5.0,10.0,4.41,4.36,4.68,4.5,4.33,3.67,3.63,3.54,5.2,4.76,4.89,4.85,6.25,7.29,4.59,4.76,4.76,4.68
7,0.7,0.0,495.0,0.0,0.0,-0.34,0.0,383.36,-1.6,9.0,9.0,67.4,74.0,8,89,0.0,0.0,0.0,0,1,386.0,0.0,3.5,3.63,5.0,85,5.0,-0.31,5.0,10.0,4.41,4.37,4.68,4.5,4.33,3.68,3.63,3.54,5.2,4.76,4.88,4.85,6.25,7.29,4.59,4.76,4.76,4.68
8,0.8,0.0,495.0,0.0,0.0,-0.35,0.0,383.31,-1.6,9.0,9.0,67.4,74.0,8,89,0.0,0.0,0.0,0,1,386.0,0.0,3.5,3.63,5.0,85,5.0,-0.31,5.0,10.0,4.41,4.38,4.68,4.5,4.33,3.69,3.63,3.54,5.2,4.76,4.87,4.85,6.25,7.29,4.59,4.76,4.76,4.68
9,0.9,0.0,495.0,0.0,0.0,-0.37,0.0,383.3,-1.6,9.0,9.0,67.4,74.0,8,89,0.0,0.0,0.0,0,1,386.0,0.0,3.5,3.63,5.0,85,5.0,-0.31,5.0,10.0,4.41,4.39,4.68,4.5,4.33,3.7,3.63,3.54,5.2,4.76,4.87,4.85,6.25,7.29,4.59,4.76,4.76,4.68
10,1.0,0.0,495.0,0.0,0.0,-0.37,0.0,383.3,-1.6,9.0,9.0,67.4,74.0,8,89,0.0,0.0,0.0,0,1,386.0,0.0,3.5,3.63,5.0,85,5.0,-0.31,5.0,10.0,4.41,4.4,4.68,4.5,4.33,3.71,3.63,3.54,5.2,4.76,4.86,4.85,6.25,7.29,4.59,4.76,4.76,4.68
11,1.1,0.0,495.0,0.0,0.0,-0.37,0.0,383.3,-1.6,9.0,9.0,67.4,74.0,8,89,0.0,0.0,0.0,0,1,386.0,0.0,3.5,3.63,5.0,85,5.0,-0.31,5.0,10.0,4.41,4.41,4.68,4.49,4.33,3.72,3.63,3.54,5.2,4.76,4.85,4.85,6.26,7.28,4.59,4.76,4.76,4.68
12,1.2,0.0,495.0,0.0,0.0,-0.35,0.0,383.3,-1.6,9.0,9.0,67.4,74.0,8,89,0.0,0.0,0.0,0,1,386.0,0.0,3.5,3.63,5.0,85,5.0,-0.31,5.0,10.0,4.42,4.41,4.68,4.48,4.33,3.72,3.63,3.54,5.2,4.76,4.85,4.85,6.28,7.26,4.59,4.76,4.76,4.68
13,1.3,0.0,495.0,0.0,0.0,-0.33,0.0,383.3,-1.6,9.0,9.0,67.4,74.0,8,89,0.0,0.0,0.0,0,1,386.0,0.0,3.5,3.63,5.0,85,5.0,-0.31,5.0,10.0,4.42,4.41,4.68,4.48,4.33,3.72,3.63,3.54,5.2,4.76,4.85,4.85,6.3,7.24,4.59,4.76,4.76,4.68
14,1.4,0.0,495.0,0.0,0.0,-0.34,0.0,383.3,-1.6,9.0,9.0,67.4,74.0,8,89,0.0,0.0,0.0,0,1,386.0,0.0,3.5,3.63,5.0,85,5.0,-0.31,5.0,10.0,4.43,4.41,4.68,4.47,4.33,3.72,3.63,3.54,5.2,4.76,4.85,4.85,6.32,7.22,4.59,4.76,4.76,4.68
