TripA_num,sector_report
2014.7.1-1,히터전력이 높아 연비가 좋지 않았습니다.
2014.7.1-2,연비가 평균보다 높았습니다.
2014.7.1-3,에어컨전력이 높아 연비가 좋지 않았습니다.
2014.7.2-1,속도가 높아 연비가 좋지 않았습니다.
2014.7.2-2,연비가 평균보다 높았습니다.
2014.7.2-3,연비가 평균보다 높았습니다.
2014.7.3-1,속도가 높아 연비가 좋지 않았습니다.
2014.7.3-2,속도가 높아 연비가 좋지 않았습니다.
2014.7.3-3,연비가 평균보다 높았습니다.
2014.7.4-1,속도가 높아 연비가 좋지 않았습니다.
2014.7.4-2,속도가 높아 연비가 좋지 않았습니다.
2014.7.4-3,연비가 평균보다 높았습니다.
2014.7.5-1,속도가 높아 연비가 좋지 않았습니다.
2014.7.5-2,연비가 평균보다 높았습니다.
2014.7.5-3,연비가 평균보다 높았습니다.
2014.7.6-1,연비가 평균보다 높았습니다.
2014.7.6-2,속도가 높아 연비가 좋지 않았습니다.
2014.7.6-3,연비가 평균보다 높았습니다.
2014.7.7-1,에어컨전력이 높아 연비가 좋지 않았습니다.
2014.7.7-2,연비가 평균보다 높았습니다.
2014.7.7-3,속도가 높아 연비가 좋지 않았습니다.
2014.7.8-1,연비가 평균보다 높았습니다.
2014.7.8-2,히터전력이 높아 연비가 좋지 않았습니다.
2014.7.8-3,연비가 평균보다 높았습니다.
2014.7.9-1,연비가 평균보다 높았습니다.
2014.7.9-2,연비가 평균보다 높았습니다.
2014.7.9-3,연비가 평균보다 높았습니다.
2014.7.10-1,연비가 평균보다 높았습니다.
2014.7.10-2,에어컨전력이 높아 연비가 좋지 않았습니다.
2014.7.10-3,연비가 평균보다 높았습니다.
2014.7.11-1,에어컨전력이 높아 연비가 좋지 않았습니다.
2014.7.11-2,속도가 높아 연비가 좋지 않았습니다.
2014.7.11-3,속도가 높아 연비가 좋지 않았습니다.
2014.7.12-1,연비가 평균보다 높았습니다.
2014.7.12-2,연비가 평균보다 높았습니다.
2014.7.12-3,속도가 높아 연비가 좋지 않았습니다.
2014.7.13-1,연비가 평균보다 높았습니다.
2014.7.13-2,연비가 평균보다 높았습니다.
2014.7.13-3,연비가 평균보다 높았습니다.
2014.7.14-1,에어컨전력이 높아 연비가 좋지 않았습니다.
2014.7.14-2,속도가 높아 연비가 좋지 않았습니다.
2014.7.14-3,에어컨전력이 높아 연비가 좋지 않았습니다.
2014.7.15-1,연비가 평균보다 높았습니다.
2014.7.15-2,연비가 평균보다 높았습니다.
2014.7.15-3,연비가 평균보다 높았습니다.
2014.7.16-1,연비가 평균보다 높았습니다.
2014.7.16-2,연비가 평균보다 높았습니다.
2014.7.16-3,에어컨전력이 높아 연비가 좋지 않았습니다.
2014.7.17-1,속도가 높아 연비가 좋지 않았습니다.
2014.7.17-2,히터전력이 높아 연비가 좋지 않았습니다.
2014.7.17-3,연비가 평균보다 높았습니다.
2014.7.18-1,에어컨전력이 높아 연비가 좋지 않았습니다.
2014.7.18-2,속도가 높아 연비가 좋지 않았습니다.
2014.7.18-3,연비가 평균보다 높았습니다.
2014.7.19-1,연비가 평균보다 높았습니다.
2014.7.19-2,연비가 평균보다 높았습니다.
2014.7.19-3,연비가 평균보다 높았습니다.
2014.7.20-1,연비가 평균보다 높았습니다.
2014.7.20-2,히터전력이 높아 연비가 좋지 않았습니다.
2014.7.20-3,히터전력이 높아 연비가 좋지 않았습니다.
2014.7.21-1,연비가 평균보다 높았습니다.
2014.7.21-2,연비가 평균보다 높았습니다.
2014.7.21-3,속도가 높아 연비가 좋지 않았습니다.
2014.7.22-1,속도가 높아 연비가 좋지 않았습니다.
2014.7.22-2,속도가 높아 연비가 좋지 않았습니다.
2014.7.22-3,속도가 높아 연비가 좋지 않았습니다.
2014.7.23-1,속도가 높아 연비가 좋지 않았습니다.
2014.7.23-2,연비가 평균보다 높았습니다.
2014.7.23-3,히터전력이 높아 연비가 좋지 않았습니다.
2014.7.24-1,히터전력이 높아 연비가 좋지 않았습니다.
2014.7.24-2,연비가 평균보다 높았습니다.
2014.7.24-3,연비가 평균보다 높았습니다.
2014.7.25-1,에어컨전력이 높아 연비가 좋지 않았습니다.
2014.7.25-2,속도가 높아 연비가 좋지 않았습니다.
2014.7.25-3,연비가 평균보다 높았습니다.
2014.7.26-1,연비가 평균보다 높았습니다.
2014.7.26-2,연비가 평균보다 높았습니다.
2014.7.26-3,속도가 높아 연비가 좋지 않았습니다.
2014.7.27-1,에어컨전력이 높아 연비가 좋지 않았습니다.
2014.7.27-2,연비가 평균보다 높았습니다.
2014.7.27-3,연비가 평균보다 높았습니다.
2014.7.28-1,연비가 평균보다 높았습니다.
2014.7.28-2,연비가 평균보다 높았습니다.
2014.7.28-3,연비가 평균보다 높았습니다.
2014.7.29-1,연비가 평균보다 높았습니다.
2014.7.29-2,연비가 평균보다 높았습니다.
2014.7.29-3,연비가 평균보다 높았습니다.
2014.7.30-1,연비가 평균보다 높았습니다.
2014.7.30-2,연비가 평균보다 높았습니다.
2014.7.30-3,연비가 평균보다 높았습니다.
2014.7.31-1,연비가 평균보다 높았습니다.
2014.7.31-2,에어컨전력이 높아 연비가 좋지 않았습니다.
2014.7.31-3,에어컨전력이 높아 연비가 좋지 않았습니다.
